kanji,count,strokes,translation,kun_readings,on_readings,radical_basis,radical_meaning,kun_romaji,on_romaji
倒,6,10,"overthrow, fall, collapse, drop, break down","たお.れる, -だお.れ, たお.す, さかさま, さかさ, さかしま",トウ,人,man,"tao.reru, -dao.re, tao.su, sakasama, sakasa, sakashima",tou
宛,3,8,"address, just like, fortunately","あ.てる, -あて, -づつ, あたか.も",エン,宀,roof,"a.teru, -ate, -zutsu, ataka.mo",en
跡,5,13,"tracks, mark, print, impression",あと,セキ,足,foot,ato,seki
絵,4,12,"picture, drawing, painting, sketch",None,"カイ, エ",糸,silk,None,"kai, e"
甘,4,5,"sweet, coax, pamper, be content, sugary","あま.い, あま.える, あま.やかす, うま.い",カン,甘,sweet,"ama.i, ama.eru, ama.yakasu, uma.i",kan
網,2,14,"netting, network",あみ,モウ,糸,silk,ami,mou
操,4,16,"maneuver, manipulate, operate, steer, chastity, virginity, fidelity","みさお, あやつ.る","ソウ, サン",手,hand,"misao, ayatsu.ru","sou, san"
荒,5,9,"laid waste, rough, rude, wild","あ.らす, あ.れる, あら.い, すさ.ぶ, すさ.む, あ.らし",コウ,艸,grass,"a.rasu, a.reru, ara.i, susa.bu, susa.mu, a.rashi",kou
霰,1,20,"hail, hailstones, small cubes",あられ,"セン, サン",雨,rain,arare,"sen, san"
暗,7,13,"darkness, disappear, shade, informal, grow dark, be blinded","くら.い, くら.む, くれ.る",アン,日,sun,"kura.i, kura.mu, kure.ru",an
安,10,6,"relax, cheap, low, quiet, rested, contented, peaceful","やす.い, やす.まる, やす, やす.らか",アン,宀,roof,"yasu.i, yasu.maru, yasu, yasu.raka",an
静,6,14,quiet,"しず-, しず.か, しず.まる, しず.める","セイ, ジョウ",青,blue,"shizu-, shizu.ka, shizu.maru, shizu.meru","sei, jou"
斐,1,12,"beautiful, patterned",None,"ヒ, イ",文,script,None,"hi, i"
幾,3,12,"how many, how much, how far, how long, some, several","いく-, いく.つ, いく.ら",キ,幺,short,"iku-, iku.tsu, iku.ra",ki
多,8,6,"many, frequent, much","おお.い, まさ.に, まさ.る",タ,夕,evening,"oo.i, masa.ni, masa.ru",ta
装,10,12,"attire, dress, pretend, disguise, profess","よそお.う, よそお.い","ソウ, ショウ",衣,clothes,"yosoo.u, yosoo.i","sou, shou"
遺,1,15,"bequeath, leave behind, reserve",のこ.す,"イ, ユイ",辵,walk,noko.su,"i, yui"
依,3,8,"reliant, depend on, consequently, therefore, due to",よ.る,"イ, エ",人,man,yo.ru,"i, e"
委,2,8,"committee, entrust to, leave to, devote, discard",ゆだ.ねる,イ,女,woman,yuda.neru,i
託,1,10,"consign, requesting, entrusting with, pretend, hint","かこつ.ける, かこ.つ, かこ.つける",タク,言,speech,"kakotsu.keru, kako.tsu, kako.tsukeru",taku
脳,3,11,"brain, memory",のうずる,"ノウ, ドウ",肉,meat,nouzuru,"nou, dou"
守,6,6,"guard, protect, defend, obey","まも.る, まも.り, もり, -もり, かみ","シュ, ス",宀,roof,"mamo.ru, mamo.ri, mori, -mori, kami","shu, su"
法,16,8,"method, law, rule, principle, model, system",のり,"ホウ, ハッ, ホッ, フラン",水,water,nori,"hou, ha, ho, furan"
樹,2,16,"timber, trees, wood, establish, set up",き,ジュ,木,tree,ki,ju
準,7,13,"semi-, correspond to, proportionate to, conform, imitate","じゅん.じる, じゅん.ずる, なぞら.える, のり, ひと.しい, みずもり",ジュン,水,water,"jun.jiru, jun.zuru, nazora.eru, nori, hito.shii, mizumori",jun
署,4,13,"signature, govt office, police station",None,ショ,网,net,None,sho
症,2,10,"symptoms, illness",None,ショウ,疒,sickness,None,shou
証,5,12,"evidence, proof, certificate",あかし,ショウ,言,speech,akashi,shou
嬢,2,16,"lass, girl, Miss, daughter",むすめ,ジョウ,女,woman,musume,jou
位,7,7,"rank, grade, throne, crown, about, some","くらい, ぐらい",イ,人,man,"kurai, gurai",i
城,2,9,castle,しろ,"ジョウ, セイ",土,earth,shiro,"jou, sei"
去,5,5,"gone, past, quit, leave, elapse, eliminate, divorce","さ.る, -さ.る","キョ, コ",厶,private,"sa.ru, -sa.ru","kyo, ko"
衝,2,15,"collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick",つ.く,ショウ,行,go,tsu.ku,shou
撃,6,15,"beat, attack, defeat, conquer",う.つ,ゲキ,手,hand,u.tsu,geki
詳,2,13,"detailed, full, minute, accurate, well-informed","くわ.しい, つまび.らか",ショウ,言,speech,"kuwa.shii, tsumabi.raka",shou
昇,3,8,rise up,のぼ.る,ショウ,日,sun,nobo.ru,shou
称,2,10,"appellation, praise, admire, name, title, fame","たた.える, とな.える, あ.げる, かな.う, はか.り, はか.る, ほめ.る",ショウ,禾,grain,"tata.eru, tona.eru, a.geru, kana.u, haka.ri, haka.ru, home.ru",shou
承,5,8,"acquiesce, hear, listen to, be informed, receive","うけたまわ.る, う.ける","ショウ, ジョウ",手,hand,"uketamawa.ru, u.keru","shou, jou"
諾,1,15,"consent, assent, agreement",None,ダク,言,speech,None,daku
徴,3,14,"indications, sign, omen, symptom, collect, seek, refer to, question",しるし,"チョウ, チ",彳,step,shirushi,"chou, chi"
譲,2,20,"defer, turnover, transfer, convey",ゆず.る,ジョウ,言,speech,yuzu.ru,jou
利,15,7,"profit, advantage, benefit",き.く,リ,刀,knife,ki.ku,ri
蒸,8,13,"steam, heat, sultry, foment, get musty","む.す, む.れる, む.らす","ジョウ, セイ",艸,grass,"mu.su, mu.reru, mu.rasu","jou, sei"
溜,5,13,"collect, gather, be in arrears","た.まる, たま.る, た.める, したた.る, たまり, ため",リュウ,水,water,"ta.maru, tama.ru, ta.meru, shitata.ru, tamari, tame",ryuu
奨,2,13,"exhort, urge, encourage",すす.める,"ショウ, ソウ",大,big,susu.meru,"shou, sou"
諸,2,15,"various, many, several, together",もろ,ショ,言,speech,moro,sho
助,11,7,"help, rescue, assist","たす.ける, たす.かる, す.ける, すけ",ジョ,力,power,"tasu.keru, tasu.karu, su.keru, suke",jo
徐,2,10,"gradually, slowly, deliberately, gently",おもむ.ろに,ジョ,彳,step,omomu.roni,jo
所,25,8,"place, extent","ところ, -ところ, どころ, とこ",ショ,戶,door,"tokoro, -tokoro, dokoro, toko",sho
属,5,12,"belong, genus, subordinate official, affiliated","さかん, つく, やから","ゾク, ショク",尸,corpse,"sakan, tsuku, yakara","zoku, shoku"
処,5,5,"dispose, manage, deal with, sentence, condemn, act, behave, place","ところ, -こ, お.る",ショ,几,table,"tokoro, -ko, o.ru",sho
初,10,7,"first time, beginning","はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め",ショ,刀,knife,"haji.me, haji.mete, hatsu, hatsu-, ui-, -so.meru, -zo.me",sho
版,5,8,"printing block, printing plate, edition, impression, label",None,ハン,片,slice,None,han
庶,2,11,"commoner, all, bastard",None,ショ,广,house,None,sho
令,2,5,"orders, laws, command, decree, good",None,レイ,人,man,None,rei
陣,1,10,"camp, battle array, ranks, position, sudden, brief time",None,ジン,dam,mound,None,jin
審,4,15,"hearing, judge, trial","つまび.らか, つぶさ.に",シン,宀,roof,"tsumabi.raka, tsubusa.ni",shin
査,5,9,investigate,None,サ,木,tree,None,sa
紳,1,11,"sire, good belt, gentleman",None,シン,糸,silk,None,shin
実,32,8,"reality, truth, seed, fruit, nut","み, みの.る, まこと, みの, みち.る","ジツ, シツ",宀,roof,"mi, mino.ru, makoto, mino, michi.ru","jitsu, shitsu"
珠,1,10,"pearl, gem, jewel",たま,シュ,jade,jade,tama,shu
神,9,9,"gods, mind, soul","かみ, かん-, こう-","シン, ジン",示,sign,"kami, kan-, kou-","shin, jin"
聖,2,13,"holy, saint, sage, master, priest",ひじり,"セイ, ショウ",耳,ear,hijiri,"sei, shou"
迅,1,6,"swift, fast",None,ジン,辵,walk,None,jin
速,11,10,"quick, fast","はや.い, はや-, はや.める, すみ.やか",ソク,辵,walk,"haya.i, haya-, haya.meru, sumi.yaka",soku
築,3,16,"fabricate, build, construct",きず.く,チク,竹,bamboo,kizu.ku,chiku
呈,1,7,"display, offer, present, send, exhibit",None,テイ,口,mouth,None,tei
振,12,10,"shake, wave, wag, swing","ふ.る, ふ.れる, ふ.るう",シン,手,hand,"fu.ru, fu.reru, fu.ruu",shin
秘,3,10,"secret, conceal","ひ.める, ひそ.か, かく.す",ヒ,禾,grain,"hi.meru, hiso.ka, kaku.su",hi
療,3,17,"heal, cure",None,リョウ,疒,sickness,None,ryou
粋,3,10,"chic, style, purity, essence, pith, cream, elite, choice",いき,スイ,米,rice,iki,sui
推,6,11,"conjecture, infer, guess, suppose, support, push (for)",お.す,スイ,手,hand,o.su,sui
吹,3,7,"blow, breathe, puff, emit, smoke",ふ.く,スイ,口,mouth,fu.ku,sui
奏,2,9,"play music, speak to a ruler, complete",かな.でる,ソウ,大,big,kana.deru,sou
測,6,12,"fathom, plan, scheme, measure",はか.る,ソク,水,water,haka.ru,soku
田,6,5,"rice field, rice paddy",た,デン,田,field,ta,den
数,22,13,"number, strength, fate, law, figures","かず, かぞ.える, しばしば, せ.める, わずらわ.しい","スウ, ス, サク, ソク, シュ",攴,rap,"kazu, kazo.eru, shibashiba, se.meru, wazurawa.shii","suu, su, saku, soku, shu"
詞,13,12,"part of speech, words, poetry",ことば,シ,言,speech,kotoba,shi
崇,1,11,"adore, respect, revere, worship",あが.める,スウ,山,mountain,aga.meru,suu
据,2,11,"set, lay a foundation, install, equip, squat down, sit down","す.える, す.わる",キョ,手,hand,"su.eru, su.waru",kyo
濯,3,17,"laundry, wash, pour on, rinse","すす.ぐ, ゆす.ぐ",タク,水,water,"susu.gu, yusu.gu",taku
裾,1,13,"cuff, hem, foot of mountain",すそ,"キョ, コ",衣,clothes,suso,"kyo, ko"
早,7,6,"early, fast","はや.い, はや, はや-, はや.まる, はや.める, さ-","ソウ, サッ",日,sun,"haya.i, haya, haya-, haya.maru, haya.meru, sa-","sou, sa"
澄,2,15,"lucidity, be clear, clear, clarify, settle, strain, look grave","す.む, す.ます, -す.ます",チョウ,水,water,"su.mu, su.masu, -su.masu",chou
果,10,8,"fruit, reward, carry out, achieve, complete, end, finish, succeed","は.たす, はた.す, -は.たす, は.てる, -は.てる, は.て",カ,木,tree,"ha.tasu, hata.su, -ha.tasu, ha.teru, -ha.teru, ha.te",ka
正,24,5,"correct, justice, righteous, 10**40","ただ.しい, ただ.す, まさ, まさ.に","セイ, ショウ",止,stop,"tada.shii, tada.su, masa, masa.ni","sei, shou"
策,4,12,"scheme, plan, policy, step, means",None,サク,竹,bamboo,None,saku
誠,3,13,"sincerity, admonish, warn, prohibit, truth, fidelity",まこと,セイ,言,speech,makoto,sei
熟,3,15,"mellow, ripen, mature, acquire skill",う.れる,ジュク,火,fire,u.reru,juku
青,7,8,"blue, green","あお, あお-, あお.い","セイ, ショウ",青,blue,"ao, ao-, ao.i","sei, shou"
春,2,9,"springtime, spring (season)",はる,シュン,日,sun,haru,shun
純,4,10,"genuine, purity, innocence, net (profit)",None,ジュン,糸,silk,None,jun
常,9,11,"usual, ordinary, normal, common, regular, continually, always, long-lasting","つね, とこ-",ジョウ,巾,turban,"tsune, toko-",jou
盛,9,11,"boom, prosper, copulate","も.る, さか.る, さか.ん","セイ, ジョウ",皿,dish,"mo.ru, saka.ru, saka.n","sei, jou"
濁,2,16,"voiced, uncleanness, wrong, nigori, impurity","にご.る, にご.す","ダク, ジョク",水,water,"nigo.ru, nigo.su","daku, joku"
製,7,14,"made in..., manufacture",None,セイ,衣,clothes,None,sei
鉄,9,13,iron,くろがね,テツ,金,metal,kurogane,tetsu
晴,6,12,clear up,"は.れる, は.れ, は.れ-, -ば.れ, は.らす",セイ,日,sun,"ha.reru, ha.re, ha.re-, -ba.re, ha.rasu",sei
征,1,8,"subjugate, attack the rebellious, collect taxes",None,セイ,彳,step,None,sei
精,5,14,"refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill","しら.げる, くわ.しい","セイ, ショウ",米,rice,"shira.geru, kuwa.shii","sei, shou"
伜,1,6,"son, my son",せがれ,"サイ, ソツ, ソチ",人,man,segare,"sai, sotsu, sochi"
責,3,11,"blame, condemn, censure",せ.める,セキ,貝,shell,se.meru,seki
是,2,9,"just so, this, right, justice","これ, この, ここ","ゼ, シ",日,sun,"kore, kono, koko","ze, shi"
接,12,11,"touch, contact, adjoin, piece together",つ.ぐ,"セツ, ショウ",手,hand,tsu.gu,"setsu, shou"
衷,1,9,"inmost, heart, mind, inside",None,チュウ,衣,clothes,None,chuu
攻,5,7,"aggression, attack, criticize, polish",せ.める,コウ,攴,rap,se.meru,kou
先,23,6,"before, ahead, previous, future, precedence","さき, ま.ず",セン,儿,legs,"saki, ma.zu",sen
維,2,14,"fiber, tie, rope",None,イ,糸,silk,None,i
宣,4,9,"proclaim, say, announce",のたま.う,セン,宀,roof,notama.u,sen
専,6,9,"specialty, exclusive, mainly, solely",もっぱ.ら,セン,寸,thumb,moppa.ra,sen
術,7,11,"art, technique, skill, means, trick, resources, magic",すべ,ジュツ,行,go,sube,jutsu
潜,3,15,"submerge, conceal, hide, lower (voice), hush","ひそ.む, もぐ.る, かく.れる, くぐ.る, ひそ.める",セン,水,water,"hiso.mu, mogu.ru, kaku.reru, kugu.ru, hiso.meru",sen
提,6,12,"propose, take along, carry in hand",さ.げる,"テイ, チョウ, ダイ",手,hand,sa.geru,"tei, chou, dai"
闘,2,18,"fight, war","たたか.う, あらそ.う",トウ,門,gate,"tataka.u, araso.u",tou
舶,1,11,"liner, ship",None,ハク,舟,boat,None,haku
滅,6,13,"destroy, ruin, overthrow, perish","ほろ.びる, ほろ.ぶ, ほろ.ぼす",メツ,水,water,"horo.biru, horo.bu, horo.bosu",metsu
領,10,14,"jurisdiction, dominion, territory, fief, reign",えり,リョウ,頁,leaf,eri,ryou
総,4,14,"general, whole, all, full, total","す.べて, すべ.て, ふさ",ソウ,糸,silk,"su.bete, sube.te, fusa",sou
刊,5,5,"publish, carve, engrave",None,カン,刀,knife,None,kan
増,10,14,"increase, add, augment, gain, promote","ま.す, ま.し, ふ.える, ふ.やす",ゾウ,土,earth,"ma.su, ma.shi, fu.eru, fu.yasu",zou
捜,3,10,"search, look for, locate",さが.す,"ソウ, シュ, シュウ",手,hand,saga.su,"sou, shu, shuu"
索,3,10,"cord, rope, searching, inquiring",None,サク,糸,silk,None,saku
対,21,7,"vis-a-vis, opposite, even, equal, versus, anti-, compare","あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","タイ, ツイ",寸,thumb,"aite, kota.eru, soro.i, tsurea.i, nara.bu, muka.u","tai, tsui"
壮,1,6,"robust, manhood, prosperity",さかん,ソウ,士,scholar,sakan,sou
騒,7,18,"boisterous, make noise, clamor, disturb, excite","さわ.ぐ, うれい, さわ.がしい",ソウ,馬,horse,"sawa.gu, urei, sawa.gashii",sou
遭,2,14,"encounter, meet, party, association, interview, join","あ.う, あ.わせる",ソウ,辵,walk,"a.u, a.waseru",sou
難,11,18,"difficult, impossible, trouble, accident, defect","かた.い, -がた.い, むずか.しい, むづか.しい, むつか.しい, -にく.い",ナン,隹,small,"kata.i, -gata.i, muzuka.shii, muzuka.shii, mutsuka.shii, -niku.i",nan
添,2,11,"annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate","そ.える, そ.う",テン,水,water,"so.eru, so.u",ten
即,2,7,"instant, namely, as is, conform, agree, adapt","つ.く, つ.ける, すなわ.ち",ソク,卩,kneel,"tsu.ku, tsu.keru, sunawa.chi",soku
縛,2,16,"truss, arrest, bind, tie, restrain",しば.る,バク,糸,silk,shiba.ru,baku
損,6,13,"damage, loss, disadvantage, hurt, injure","そこ.なう, そこな.う, -そこ.なう, そこ.ねる, -そこ.ねる",ソン,手,hand,"soko.nau, sokona.u, -soko.nau, soko.neru, -soko.neru",son
阻,2,8,"thwart, separate from, prevent, obstruct, deter, impede",はば.む,ソ,dam,mound,haba.mu,so
訟,1,11,"sue, accuse",None,ショウ,言,speech,None,shou
措,1,11,"set aside, give up, suspend, discontinue, lay aside, except",お.く,ソ,手,hand,o.ku,so
聳,1,17,"rise, tower",そび.える,ショウ,耳,ear,sobi.eru,shou
朴,1,6,"crude, simple, plain, docile","ほう, ほお, えのき",ボク,木,tree,"hou, hoo, enoki",boku
反,17,4,anti-,"そ.る, そ.らす, かえ.す, かえ.る, -かえ.る","ハン, ホン, タン, ホ",又,right,"so.ru, so.rasu, kae.su, kae.ru, -kae.ru","han, hon, tan, ho"
揃,4,12,"be complete, uniform, all present","そろ.える, そろ.う, そろ.い, き.る",セン,手,hand,"soro.eru, soro.u, soro.i, ki.ru",sen
失,12,5,"lose, error, fault, disadvantage, loss","うしな.う, う.せる",シツ,大,big,"ushina.u, u.seru",shitsu
待,12,9,"wait, depend on","ま.つ, -ま.ち",タイ,彳,step,"ma.tsu, -ma.chi",tai
験,5,18,"verification, effect, testing","あかし, しるし, ため.す, ためし","ケン, ゲン",馬,horse,"akashi, shirushi, tame.su, tameshi","ken, gen"
態,5,14,"attitude, condition, figure, appearance, voice (of verbs)",わざ.と,タイ,心,heart,waza.to,tai
胆,1,9,"gall bladder, courage, pluck, nerve",きも,タン,肉,meat,kimo,tan
比,7,4,"compare, race, ratio, Philippines",くら.べる,ヒ,比,compare,kura.beru,hi
便,12,9,"convenience, facility, excrement, feces, letter, chance",たよ.り,"ベン, ビン",人,man,tayo.ri,"ben, bin"
怠,3,9,"neglect, laziness","おこた.る, なま.ける",タイ,心,heart,"okota.ru, nama.keru",tai
慢,3,14,"ridicule, laziness",None,マン,心,heart,None,man
話,16,13,"tale, talk","はな.す, はなし",ワ,言,speech,"hana.su, hanashi",wa
耐,1,9,"-proof, enduring",た.える,タイ,而,beard,ta.eru,tai
堪,2,12,"withstand, endure, support, resist","た.える, たま.る, こら.える, こた.える","カン, タン",土,earth,"ta.eru, tama.ru, kora.eru, kota.eru","kan, tan"
焚,2,12,"burn, kindle, build a fire, boil, cook","た.く, や.く, やきがり","フン, ホン, ハン",火,fire,"ta.ku, ya.ku, yakigari","fun, hon, han"
妥,3,7,"gentle, peace, satisfactory, appropriate",None,ダ,女,woman,None,da
駄,4,14,"burdensome, pack horse, horse load, send by horse, trivial, worthless",None,"ダ, タ",馬,horse,None,"da, ta"
携,3,13,"portable, carry (in hand), armed with, bring along","たずさ.える, たずさ.わる",ケイ,手,hand,"tazusa.eru, tazusa.waru",kei
漂,1,14,"drift, float (on liquid)",ただよ.う,ヒョウ,水,water,tadayo.u,hyou
脱,5,11,"undress, removing, escape from, get rid of, be left out, take off","ぬ.ぐ, ぬ.げる",ダツ,肉,meat,"nu.gu, nu.geru",datsu
奉,2,8,"observance, offer, present, dedicate","たてまつ.る, まつ.る, ほう.ずる","ホウ, ブ",大,big,"tatematsu.ru, matsu.ru, hou.zuru","hou, bu"
他,6,5,"other, another, the others",ほか,タ,人,man,hoka,ta
辿,2,6,"follow (road), pursue","たど.る, たどり",テン,辵,walk,"tado.ru, tadori",ten
忙,2,6,"busy, occupied, restless","いそが.しい, せわ.しい, おそ.れる, うれえるさま","ボウ, モウ",心,heart,"isoga.shii, sewa.shii, oso.reru, ureerusama","bou, mou"
魂,1,14,"soul, spirit","たましい, たま",コン,鬼,ghost,"tamashii, tama",kon
賜,1,15,"grant, gift, boon, results","たまわ.る, たま.う, たも.う",シ,貝,shell,"tamawa.ru, tama.u, tamo.u",shi
弛,2,6,"slacken, relax","たる.む, たる.める, たゆ.む, ゆる.む, ゆる.み","チ, シ",弓,bow,"taru.mu, taru.meru, tayu.mu, yuru.mu, yuru.mi","chi, shi"
垂,2,8,"droop, suspend, hang, slouch","た.れる, た.らす, た.れ, -た.れ, なんなんと.す",スイ,土,earth,"ta.reru, ta.rasu, ta.re, -ta.re, nannanto.su",sui
単,10,9,"simple, one, single, merely",ひとえ,タン,十,ten,hitoe,tan
短,11,12,"short, brevity, fault, defect, weak point",みじか.い,タン,矢,arrow,mijika.i,tan
歌,7,14,"song, sing","うた, うた.う",カ,欠,lack,"uta, uta.u",ka
架,2,9,"erect, frame, mount, support, shelf, construct","か.ける, か.かる",カ,木,tree,"ka.keru, ka.karu",ka
探,3,11,"grope, search, look for","さぐ.る, さが.す",タン,手,hand,"sagu.ru, saga.su",tan
縮,8,17,"shrink, contract, shrivel, wrinkle, reduce","ちぢ.む, ちぢ.まる, ちぢ.める, ちぢ.れる, ちぢ.らす",シュク,糸,silk,"chizi.mu, chizi.maru, chizi.meru, chizi.reru, chizi.rasu",shuku
炭,3,9,"charcoal, coal",すみ,タン,火,fire,sumi,tan
旦,2,5,"daybreak, dawn, morning","あき.らか, あきら, ただし, あさ, あした","タン, ダン",日,sun,"aki.raka, akira, tadashi, asa, ashita","tan, dan"
那,1,7,what?,"なに, なんぞ, いかん","ナ, ダ",town,town,"nani, nanzo, ikan","na, da"
波,4,8,"waves, billows, Poland",なみ,ハ,水,water,nami,ha
蛋,1,11,"barbarian, egg",None,タン,虫,insect,None,tan
弾,6,12,"bullet, twang, flip, snap","ひ.く, -ひ.き, はず.む, たま, はじ.く, はじ.ける, ただ.す, はじ.きゆみ","ダン, タン",弓,bow,"hi.ku, -hi.ki, hazu.mu, tama, haji.ku, haji.keru, tada.su, haji.kiyumi","dan, tan"
蓄,3,13,"amass, raise, hoard, store",たくわ.える,チク,艸,grass,takuwa.eru,chiku
積,9,16,"volume, product (x*y), acreage, contents, pile up, stack, load, amass","つ.む, -づ.み, つ.もる, つ.もり",セキ,禾,grain,"tsu.mu, -zu.mi, tsu.moru, tsu.mori",seki
乳,2,8,"milk, breasts","ちち, ち",ニュウ,乛,second,"chichi, chi",nyuu
秩,1,10,"regularity, salary, order",None,チツ,禾,grain,None,chitsu
序,2,7,"preface, beginning, order, precedence, occasion, chance, incidentally","つい.で, ついで",ジョ,广,house,"tsui.de, tsuide",jo
窒,1,11,"plug up, obstruct",None,チツ,穴,cave,None,chitsu
席,7,10,"seat, mat, occasion, place",むしろ,セキ,巾,turban,mushiro,seki
宙,2,8,"mid-air, air, space, sky, memorization, interval of time",None,チュウ,宀,roof,None,chuu
忠,1,8,"loyalty, fidelity, faithfulness",None,チュウ,心,heart,None,chuu
枢,1,8,"hinge, pivot, door, center of things","とぼそ, からくり","スウ, シュ",木,tree,"toboso, karakuri","suu, shu"
抽,2,8,"pluck, pull, extract, excel",ひき-,チュウ,手,hand,hiki-,chuu
毒,5,8,"poison, virus, venom, germ, harm, injury, spite",None,ドク,毋,mother,None,doku
腸,1,13,"intestines, guts, bowels, viscera","はらわた, わた",チョウ,肉,meat,"harawata, wata",chou
蝶,1,15,butterfly,None,チョウ,虫,insect,None,chou
超,4,12,"transcend, super-, ultra-","こ.える, こ.す",チョウ,走,run,"ko.eru, ko.su",chou
聴,3,17,"listen, headstrong, naughty, careful inquiry","き.く, ゆる.す","チョウ, テイ",耳,ear,"ki.ku, yuru.su","chou, tei"
官,5,8,"bureaucrat, the government, organ",None,カン,宀,roof,None,kan
停,7,11,"halt, stopping","と.める, と.まる",テイ,人,man,"to.meru, to.maru",tei
複,6,14,"duplicate, double, compound, multiple",None,フク,衣,clothes,None,fuku
編,5,15,"compilation, knit, plait, braid, twist, editing, completed poem, part of a book","あ.む, -あ.み",ヘン,糸,silk,"a.mu, -a.mi",hen
宝,3,8,"treasure, wealth, valuables",たから,ホウ,宀,roof,takara,hou
直,23,8,"straightaway, honesty, frankness, fix, repair","ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ","チョク, ジキ, ジカ",目,eye,"tada.chini, nao.su, -nao.su, nao.ru, nao.ki, su.gu","choku, jiki, jika"
貯,3,12,"savings, store, lay in, keep, wear mustache","た.める, たくわ.える",チョ,貝,shell,"ta.meru, takuwa.eru",cho
塵,5,14,"dust, trash, garbage","ちり, ごみ","チン, ジン",土,earth,"chiri, gomi","chin, jin"
没,3,7,"drown, sink, hide, fall into, disappear, die","おぼ.れる, しず.む, ない","ボツ, モツ",水,water,"obo.reru, shizu.mu, nai","botsu, motsu"
黙,2,15,"silence, become silent, stop speaking, leave as is","だま.る, もだ.す","モク, ボク",黑,black,"dama.ru, moda.su","moku, boku"
陳,1,11,"exhibit, state, relate, explain",ひ.ねる,チン,dam,mound,hi.neru,chin
放,13,8,"set free, release, fire, shoot, emit, banish, liberate","はな.す, -っぱな.し, はな.つ, はな.れる, こ.く, ほう.る",ホウ,攴,rap,"hana.su, -ppana.shi, hana.tsu, hana.reru, ko.ku, hou.ru",hou
墜,1,15,"crash, fall (down)","お.ちる, お.つ",ツイ,土,earth,"o.chiru, o.tsu",tsui
痛,6,12,"pain, hurt, damage, bruise","いた.い, いた.む, いた.ましい, いた.める",ツウ,疒,sickness,"ita.i, ita.mu, ita.mashii, ita.meru",tsuu
杖,1,7,"staff, cane",つえ,ジョウ,木,tree,tsue,jou
司,4,5,"director, official, govt office, rule, administer",つかさど.る,シ,口,mouth,tsukasado.ru,shi
尽,2,6,"exhaust, use up, run out of, deplete, befriend, serve","つ.きる, つ.くす, つ.かす, -づ.く, -ず.く, ことごと.く","ジン, サン",尸,corpse,"tsu.kiru, tsu.kusu, tsu.kasu, -zu.ku, -zu.ku, kotogoto.ku","jin, san"
繕,2,18,"darning, repair, mend, trim, tidy up, adjust",つくろ.う,ゼン,糸,silk,tsukuro.u,zen
筒,3,12,"cylinder, pipe, tube, gun barrel, sleeve",つつ,トウ,竹,bamboo,tsutsu,tou
謹,1,17,"discreet, reverently, humbly",つつし.む,キン,言,speech,tsutsushi.mu,kin
努,3,7,"toil, diligent, as much as possible",つと.める,ド,力,power,tsuto.meru,do
津,1,9,"haven, port, harbor, ferry",つ,シン,水,water,tsu,shin
角,13,7,"angle, corner, square, horn, antlers","かど, つの",カク,角,horn,"kado, tsuno",kaku
唾,1,11,"saliva, sputum","つば, つばき","ダ, タ",口,mouth,"tsuba, tsubaki","da, ta"
呟,1,8,"mutter, grumble, murmur",つぶや.く,ゲン,口,mouth,tsubuya.ku,gen
壷,1,11,"jar, pot, hinge knuckle, one's aim",つぼ,コ,士,scholar,tsubo,ko
蕾,1,16,"bud (plants, mushrooms not yet opened)",つぼみ,ライ,艸,grass,tsubomi,rai
釣,4,11,"angling, fish, catch, allure, ensnare","つ.る, つ.り, つ.り-",チョウ,金,metal,"tsu.ru, tsu.ri, tsu.ri-",chou
鐘,3,20,"bell, gong, chimes",かね,ショウ,金,metal,kane,shou
吊,3,6,"suspend, hang, wear (sword)","つ.る, つる.す",チョウ,口,mouth,"tsu.ru, tsuru.su",chou
邸,1,8,"residence, mansion",やしき,テイ,town,town,yashiki,tei
宅,7,6,"home, house, residence, our house, my husband",None,タク,宀,roof,None,taku
堤,1,12,"dike, bank, embankment",つつみ,テイ,土,earth,tsutsumi,tei
適,10,14,"suitable, occasional, rare, qualified, capable",かな.う,テキ,辵,walk,kana.u,teki
宜,2,8,"best regards, good","よろ.しい, よろ.しく",ギ,宀,roof,"yoro.shii, yoro.shiku",gi
際,5,14,"occasion, side, edge, verge, dangerous, adventurous, indecent, time, when","きわ, -ぎわ",サイ,dam,mound,"kiwa, -giwa",sai
順,8,12,"obey, order, turn, right, docility, occasion",None,ジュン,頁,leaf,None,jun
錠,1,16,"lock, fetters, shackles",None,ジョウ,金,metal,None,jou
鋼,1,16,steel,はがね,コウ,金,metal,hagane,kou
徹,3,15,"penetrate, clear, pierce, strike home, sit up (all night)",None,テツ,彳,step,None,tetsu
棒,3,12,"rod, stick, cane, pole, club, line",None,ボウ,木,tree,None,bou
掌,2,12,"palm of hand, rule, administer, conduct","てのひら, たなごころ",ショウ,手,hand,"tenohira, tanagokoro",shou
筈,1,12,"notch of an arrow, ought, must, should be, expected","はず, やはず",カツ,竹,bamboo,"hazu, yahazu",katsu
